text,ground_truth,bert_pred,bert_prob
unflinchingly bleak and desperate,0,1,0.49989405274391174
"it's slow - - very, very slow.",0,1,0.5001059174537659
a sometimes tedious film.,0,1,0.5152261853218079
or doing last year's taxes with your ex - wife.,0,1,0.48477378487586975
"in exactly 89 minutes, most of which passed as slowly as if i'd been sitting naked on an igloo, formula 51 sank from quirky to jerky to utter turkey.",0,1,0.4857238531112671
"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,1,0.5142761468887329
... the film suffers from a lack of humor ( something needed to balance out the violence )...,0,1,0.5199323296546936
even horror fans will most likely not find what they're seeking with trouble every day ; the movie lacks both thrills and humor.,0,1,0.480067640542984
... the movie is just a plain old monster.,0,1,0.5330559015274048
"in its best moments, resembles a bad high school production of grease, without benefit of song.",0,1,0.4669441282749176
"pumpkin takes an admirable look at the hypocrisy of political correctness, but it does so with such an uneven tone that you never know when humor ends and tragedy begins.",0,1,0.4986365735530853
the iditarod lasts for days - this just felt like it did.,0,1,0.5013634562492371
holden caulfield did it better.,0,1,0.5012789964675903
"nicks, seemingly uncertain what's going to make people laugh, runs the gamut from stale parody to raunchy sex gags to formula romantic comedy.",0,1,0.49872100353240967
"the action switches between past and present, but the material link is too tenuous to anchor the emotional connections that purport to span a 125 - year divide.",0,1,0.5041660666465759
"it's a cookie - cutter movie, a cut - and - paste job.",0,1,0.4958339333534241
i had to look away - this was god awful.,0,1,0.48050662875175476
"... designed to provide a mix of smiles and tears, ` ` crossroads'' instead provokes a handful of unintentional howlers and numerous yawns.",0,1,0.5194933414459229
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god,'it is far too self - conscious to draw you deeply into its world.",0,1,0.4867631793022156
"it doesn't believe in itself, it has no sense of humor... it's just plain bored.",0,1,0.5132368206977844
a sequence of ridiculous shoot -'em - up scenes.,0,1,0.5309786200523376
"( w ) hile long on amiable monkeys and worthy environmentalism, jane goodall's wild chimpanzees is short on the thrills the oversize medium demands.",0,1,0.46902135014533997
"the title not only describes its main characters, but the lazy people behind the camera as well.",0,1,0.5017648339271545
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment.,0,1,0.49823513627052307
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness.,0,1,0.4807218015193939
it's hampered by a lifetime - channel kind of plot and a lead actress who is out of her depth.,0,1,0.5192782282829285
"it feels like an after - school special gussied up with some fancy special effects, and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes.",0,1,0.48444557189941406
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises,0,1,0.5155544281005859
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it.,0,1,0.5062931180000305
the cold turkey would've been a far better title.,0,1,0.4937068521976471
manages to be both repulsively sadistic and mundane.,0,1,0.49485889077186584
"it's just disappointingly superficial - - a movie that has all the elements necessary to be a fascinating, involving character study, but never does more than scratch the surface.",0,1,0.5051410794258118
"schaeffer has to find some hook on which to hang his persistently useless movies, and it might as well be the resuscitation of the middle - aged character.",0,1,0.5076466798782349
